DATE_OF_MISSING,SPAN,QUARTER,DIVISION,SEX,AGE,HEIGHT,COMPLEXION,CLOTH TYPE,RETURNED,,,
01-02-2016,MORNING,1,2,MALE,13,148.52,WHEATISH,KOTI JEANS,0,,,
24-02-2016,MORNING,1,BHARGAV CAMP,MALE,16,169.14,FAIR,KOTI JEANS,0,,,
16-02-2016,EVENING,1,4,MALE,36,169.14,WHEATISH,KAMEEZ PANT,1,,,
01-02-2016,NIGHT,1,5,MALE,50,164.06,WHEATISH,SHIRT PANT,1,,,
10-02-2016,NIGHT,1,5,MALE,60,153.9,WHEATISH,KAMEEZ PANT,0,,,
21-02-2016,EVENING,1,5,FEMALE,24,169.14,WHEATISH,KURTA PAJAMA,1,,,
07-12-2016,EVENING,4,7,FEMALE,18,158.98,FAIR,SALWAR SUIT,0,,,
12-12-2016,EVENING,4,BASTI BAWA,FEMALE,32,169.14,WHEATISH,SUIT SALWAR,0,,,
09-02-2016,EVENING,1,BASTI BAWA,FEMALE,25,153.9,FAIR,SUIT SALWAR,0,,,
22-02-2016,MORNING,1,BASTI BAWA,FEMALE,27,153.9,FAIR,SUIT SALWAR,0,,,
16-12-2016,MORNING,1,RAMAMANDI,FEMALE,35,158.98,FAIR,KAMEEZ SALWAR,0,,,
16-02-2016,EVENING,1,RAMAMANDI,FEMALE,27,164.06,WHEATISH,KURTA SALWAR,1,,,
16-02-2016,NOON,1,RAMAMANDI,FEMALE,30,123.12,WHEATISH,SUIT SALWAR,0,,,
13-02-2016,NIGHT,1,RAMAMANDI,MALE,21,153.9,BLACK,PANT SHIRT,1,,,
27-02-2016,NIGHT,1,RAMAMANDI,MALE,28,153.9,WHEATISH,SHIRT PANT,1,,,
31-12-2015,EVENING,4,BASTI BAWA,FEMALE,17,148.52,FAIR,SCHOOL UNIFORM,0,,,
30-01-2016,EVENING,1,3,FEMALE,15,153.9,WHEATISH,SCHOOL UNIFORM,0,,,
07-01-2016,NIGHT,1,BHARGO CAMP,MALE,19,135.82,WHEATISH,KAMEEZ SALWAR,0,,,
04-01-2016,NIGHT,1,BHARGO CAMP,MALE,19,171.68,FAIR,SHIRT PANT,1,,,
04-01-2016,NOON,1,7,MALE,19,171.68,WHEATISH,SHIRT JEANS,1,,,
07-01-2016,NOON,1,BASTI BAWA,MALE,19,123.12,FIAR,T-SHIRT JEANS,0,,,
09-01-2016,MORNING,1,5,MALE,50,169.14,WHEATISH,SHIRT PANT,0,,,
12-01-2016,MORNING,1,7,MALE,47,164,WHEATISH,SHIRT PANT,1,,,
17-01-2016,MORNING,1,BASTI BAWA,FEMALE,28,160.5,WHEATISH,SUIT SALWAR,0,,,
23-01-2016,NOON,1,5,FEMALE,57,154,FAIR,SUIT SALWAR,1,,,
13-01-2016,MORNING,1,SADAR CAMP,FEMALE,79,155.78,FAIR,KURTA JEANS,1,,,
18-01-2016,MORNING,1,RAMAMANDI,FEMALE,26,153.89,FAIR,SUIT PAJAMI,0,,,
28-01-2016,EVENING,1,NEW BARADARI,FEMALE,21,162,WHEATISH,T-SHIRT JEANS,0,,,
30-01-2016,NIGHT,1,BASTI BAWA,FEMALE,19,168,WHEATISH,SUIT SALWAR,0,,,
05-03-2016,NIGHT,1,7,FEMALE,15,168,FAIR,SCHOOL UNIFORM,0,,,
08-12-2015,EVENING,4,8,FEMALE,17,157,FAIR,T-SHIRT CAPERY,0,,,
18-03-2016,EVENING,1,BHARGO CAMP,FEMALE,17,154.45,WHEATISH,SCHOOL UNIFORM,1,,,
09-03-2016,EVENING,1,SADAR CAMP,FEMALE,13,151.9,WHEATISH,KAMEEZ SALWAR,0,,,
09-03-2016,EVENING,1,SADAR CAMP,FEMALE,12,140,WHEATISH,T-SHIRT PAJAMI,1,,,
30-03-2016,MORNING,1,1,MALE,20,165.5,WHEATISH,SHIRT PANT,0,,,
15-03-2016,MORNING,1,2,FEMALE,21,158.54,FAIR,KAMEEZ SALWAR,0,,,
14-03-2016,EVENING,1,4,FEMALE,26,169.8,WHEATISH,SUIT SALWAR,1,,,
18-03-2016,NOON,1,5,FEMALE,23,158.64,FAIR,KAMEEZ SALWAR,0,,,
11-03-2016,NIGHT,1,SADAR CAMP,MALE,22,154,FAIR,SHIRT PANT,1,,,
18-03-2016,NIGHT,1,SADAR CAMP,MALE,18,152.4,WHEATISH,T-SHIRT PANT,1,,,
06-03-2016,EVENING,1,SADAR CAMP,FEMALE,26,152.4,FAIR,KAMEEZ SALWAR,1,,,
21-03-2016,EVENING,1,7,FEMALE,22,152.4,FAIR,T-SHIRT PAJAMI,0,,,
05-03-2016,NIGHT,1,BASTI BAWA,FEMALE,30,137.16,FAIR,SUIT SALWAR,0,,,
04-03-2016,NIGHT,1,BASTI BAWA,FEMALE,18,154.94,,KAMEEZ SALWAR,0,,,
06-03-2016,NOON,1,BASTI BAWA,FEMALE,22,154.94,FAIR,SUIT SALWAR,0,,,
